vola,rho,nu,F,K,T,alpha,beta
0.12197387361716007,0.21101969518129127,0.7084602421623396,0.025101380514788434,0.03477175435459705,2.75,0.002907499686539005,0.19405497087868087
0.0982536144681862,-0.23203615490281831,0.4277691339942367,0.029757133130482952,0.054665852127881755,2.4166666666666665,0.006936882596733953,0.4305716705032817
0.10819515554108755,-0.3983151573191115,0.6573680494747653,0.02890774388109603,0.04607700161703913,1.5833333333333333,0.007013468815189519,0.40293694753353737
0.08184946135681888,-0.14605629425889266,0.26133629486602894,0.020446442220426478,0.04247730677627492,0.4166666666666667,0.007709084753210928,0.5138074045009128
0.16231149335270192,-0.2267204822955093,0.4287225426129275,0.028442331511654345,0.011452039378743397,1.5833333333333333,0.021556769082824067,0.7574044139449574
0.17327255605942563,0.04228766103437209,0.763500211369152,0.02691400829417505,0.04384242699249872,4.416666666666667,0.015515214581673022,0.6345906965920427
0.05118060569587287,-0.3828082357872729,0.3738689687542914,0.03675155951325146,0.03782271613262167,3.8333333333333335,0.007661081862610236,0.4217224260164135
0.142804455410643,0.17891120827166151,0.5776117428803895,0.025927807855738692,0.04715733302112489,4.25,0.0025818100516715615,0.17000018976728903
0.1408278122847825,0.37376821888749,0.5004798200865415,0.030154345010226322,0.05550925294693766,1.4166666666666667,0.025560536474624296,0.7812765799301433
0.062090873992872546,0.30598320066548623,0.5525483636861357,0.03692394836856626,0.03526419102898002,3.5,0.006075934904554503,0.31235795765304236
0.10776650308938629,0.1949845242345586,0.4881361838105618,0.02808576187704712,0.04323717608042337,2.3333333333333335,0.01750050008073406,0.6973015652907497
0.0816775176687136,0.1395886644018618,0.621824457239379,0.027494060410032807,0.03194808150222815,3.0833333333333335,0.00875298562514656,0.4841591329717071
0.08633015563774235,0.2719612323835795,0.29821897828998456,0.027410453332914936,0.04663829044609329,2.9166666666666665,0.002714759324315082,0.17555188346586992
0.057429073289478945,0.38655017384773915,0.6220292531623017,0.03186367460760115,0.0296799843188957,1.25,0.0028473088537643446,0.1304411032495692
0.0906567834018626,-0.3901587321131043,0.3361624076161234,0.023990327349248147,0.056004321746636096,3.3333333333333335,0.0028479457883830873,0.2180160079268142
0.06322102259909389,0.3619739106146156,0.5082629979125823,0.03155589615602406,0.03295658659553342,1.8333333333333333,0.004469396723823866,0.2625232896441102
0.15678161270053012,0.18352014425819596,0.5653668953051401,0.0276737926578008,0.05284745634365302,4.333333333333333,0.01142511209723888,0.5614503695338772
0.10591046083641391,0.22191774583672197,0.2775496565640492,0.024109705154015226,0.05748596327607456,2.9166666666666665,0.0069837739998239315,0.45874995415209185
0.06427471717543452,-0.24012846385828557,0.5419996003258283,0.030094409348577267,0.03424625561138671,2.25,0.02090724506132967,0.7090071086236479
